proposer_name,responder_name,proposer_race,responder_race
Ms. Ho,Ms. Dang,Asian,Asian
Mr. Sesay,Mr. Delgado,Black,Hispanic
Ms. Chiu,Mr. Warsame,Asian,Black
Ms. Kanuho,Mr. Twobulls,Native,Native
Mr. Cowboy,Ms. Bullbear,Native,Native
Ms. Lesane,Mr. Bullbear,Black,Native
Mr. Calixte,Ms. Blankenship,Black,White
Ms. Castaneda,Mr. Rios,Hispanic,Hispanic
Ms. Birdinground,Mr. Bitsie,Native,Native
Ms. Vega,Ms. Diaz,Hispanic,Hispanic
Ms. Werito,Ms. Cosay,Native,Native
Mr. Munoz,Ms. Pham,Hispanic,Asian
Ms. Kang,Mr. Littlewhiteman,Asian,Native
Ms. Johnston,Mr. Begum,White,Asian
Ms. Schmidt,Mr. Fry,White,White
Ms. Altaha,Mr. Jalloh,Native,Black
Mr. Mwangi,Mr. Tessay,Black,Native
Ms. Attakai,Mr. Abebe,Native,Black
Mr. Nunez,Ms. Bitsilly,Hispanic,Native
Ms. Fry,Ms. Tadesse,White,Black
Ms. Arcoren,Ms. Kanuho,Native,Native
Ms. Ko,Ms. Jiang,Asian,Asian
Ms. Schmidt,Mr. Duong,White,Asian
Mr. Bartlett,Mr. Hoang,White,Asian
Mr. Castillo,Ms. Diop,Hispanic,Black
Mr. Bartlett,Mr. Wauneka,White,Native
Ms. Filsaime,Mr. Campos,Black,Hispanic
Ms. Conteh,Ms. Vassell,Black,Black
Mr. Wassillie,Mr. Moyer,Native,White
Ms. Aguirre,Ms. Olson,Hispanic,White
Ms. Lozano,Mr. Roth,Hispanic,White
Mr. Klein,Ms. Velazquez,White,Hispanic
Mr. Kameroff,Ms. Hoffman,Native,White
Mr. Veasley,Ms. Spottedeagle,Black,Native
Mr. Edouard,Mr. Arcoren,Black,Native
Ms. Han,Ms. Blueeyes,Asian,Native
Mr. Roth,Ms. Balogun,White,Black
Ms. Salazar,Ms. Yang,Hispanic,Asian
Ms. He,Ms. Boateng,Asian,Black
Mr. Conteh,Ms. Tapaha,Black,Native
Mr. Fry,Ms. Velasquez,White,Hispanic
Ms. Ly,Ms. Wigfall,Asian,Black
Mr. Carlson,Mr. Obrien,White,White
Ms. Odonnell,Ms. Lesane,White,Black
Mr. Erickson,Mr. Medina,White,Hispanic
Ms. Laughing,Mr. Notah,Native,Native
Mr. Obrien,Ms. Hardnett,White,Black
Mr. Rios,Mr. Weiss,Hispanic,White
Ms. Colelay,Mr. Dominguez,Native,Hispanic
Ms. Lo,Mr. Wu,Asian,Asian
Mr. Koroma,Ms. Schultz,Black,White
Mr. Keller,Mr. Atcitty,White,Native
Mr. Pan,Mr. Mahoney,Asian,White
Mr. Ndiaye,Mr. Dong,Black,Asian
Ms. Duffy,Mr. Cardenas,White,Hispanic
Mr. Bitsui,Ms. Gishie,Native,Native
Ms. Manigault,Ms. Rivera,Black,Hispanic
Mr. Carlson,Mr. Opoku,White,Black
Mr. Frimpong,Mr. Vu,Black,Asian
Ms. Cao,Ms. Arcoren,Asian,Native
Mr. Gomez,Ms. Mahoney,Hispanic,White
Mr. Desir,Ms. Haskie,Black,Native
Ms. Tessay,Ms. Todacheenie,Native,Native
Ms. Cisse,Ms. Yoo,Black,Asian
Ms. Mohamud,Ms. Prophete,Black,Black
Ms. Bui,Ms. Molina,Asian,Hispanic
Mr. Shah,Mr. Dominguez,Asian,Hispanic
Ms. Ojo,Mr. Colelay,Black,Native
Mr. Juarez,Ms. Jeancharles,Hispanic,Black
Ms. Knapp,Ms. Ko,White,Asian
Ms. Sharma,Ms. Hess,Asian,White
Mr. Stark,Ms. Blueeyes,White,Native
Mr. Rodriguez,Ms. Bekele,Hispanic,Black
Mr. Donovan,Ms. Campos,White,Hispanic
Ms. Apachito,Ms. Dinh,Native,Asian
Mr. Gutierrez,Mr. Martinez,Hispanic,Hispanic
Mr. Chiu,Ms. Trevino,Asian,Hispanic
Mr. Cheng,Mr. Dosela,Asian,Native
Ms. Tan,Mr. Jiang,Asian,Asian
Ms. Spottedeagle,Mr. Arcoren,Native,Native
Ms. Lai,Ms. Frimpong,Asian,Black
Mr. Song,Ms. Case,Asian,White
Mr. Li,Ms. Guzman,Asian,Hispanic
Mr. Olanna,Ms. Hurley,Native,White
Mr. Bitsie,Ms. Alvarado,Native,Hispanic
Ms. Schmidt,Mr. Garza,White,Hispanic
Mr. Wagner,Mr. Salas,White,Hispanic
Mr. Begum,Mr. Santana,Asian,Hispanic
Ms. Saintil,Mr. Reilly,Black,White
Mr. Su,Mr. Herrera,Asian,Hispanic
Mr. Cayaditto,Mr. Stout,Native,White
Ms. Olsen,Ms. Huffman,White,White
Mr. Herrera,Mr. Koch,Hispanic,White
Ms. Velasquez,Mr. Krueger,Hispanic,White
Mr. Chavez,Mr. Aguilar,Hispanic,Hispanic
Ms. Hurley,Mr. Friedman,White,White
Ms. Goseyun,Ms. Blackgoat,Native,Native
Ms. Molina,Mr. Manigault,Hispanic,Black
Ms. Whiteface,Ms. Olanna,Native,Native
Ms. Ng,Mr. Peshlakai,Asian,Native
Ms. Saintlouis,Ms. Tang,Black,Asian
Ms. Friedman,Mr. Larsen,White,White
Mr. Mekonnen,Ms. Snyder,Black,White
Mr. Ko,Mr. Suarez,Asian,Hispanic
Ms. Conteh,Ms. Robles,Black,Hispanic
Ms. Jeancharles,Ms. Tsinnijinnie,Black,Native
Ms. Whiteplume,Mr. Lin,Native,Asian
Ms. Lai,Mr. Frimpong,Asian,Black
Ms. Desta,Mr. Chinana,Black,Native
Mr. Declay,Ms. Dang,Native,Asian
Mr. Gomez,Mr. Ochoa,Hispanic,Hispanic
Ms. Galvan,Mr. Ortega,Hispanic,Hispanic
Ms. Walkingeagle,Ms. Chowdhury,Native,Asian
Ms. Diaz,Ms. Bitsilly,Hispanic,Native
Mr. Asare,Ms. Hurley,Black,White
Mr. Manuelito,Ms. Decker,Native,White
Mr. Fuentes,Ms. Cosay,Hispanic,Native
Ms. Tsinnijinnie,Ms. Escobar,Native,Hispanic
Ms. Tam,Mr. Campos,Asian,Hispanic
Ms. Rivera,Mr. Yellowman,Hispanic,Native
Ms. Do,Mr. Solis,Asian,Hispanic
Mr. Schwartz,Mr. Schaefer,White,White
Ms. Vo,Mr. Chery,Asian,Black
Ms. Brennan,Ms. Moyer,White,White
Ms. Kameroff,Ms. Becenti,Native,Native
Mr. Nguyen,Ms. Thai,Asian,Asian
Ms. Cisse,Mr. Tapaha,Black,Native
Mr. Alvarado,Ms. Sexton,Hispanic,White
Ms. Blueeyes,Ms. Huffman,Native,White
Mr. Liu,Mr. Altaha,Asian,Native
Mr. Tang,Ms. Ravenell,Asian,Black
Mr. Grandberry,Mr. Littlelight,Black,Native
Ms. Herman,Mr. Arcoren,White,Native
Mr. Rivas,Mr. Hyppolite,Hispanic,Black
Ms. Berger,Mr. Hebert,White,White
Ms. Johnston,Ms. Sandoval,White,Hispanic
Ms. Vega,Mr. Madplume,Hispanic,Native
Mr. Gallagher,Mr. Swanson,White,White
Mr. Knapp,Ms. Yoder,White,White
Mr. Etsitty,Mr. Vu,Native,Asian
Mr. Wassillie,Ms. Moyer,Native,White
Ms. Rosales,Mr. Begum,Hispanic,Asian
Ms. Littlelight,Mr. Chery,Native,Black
Mr. Keita,Ms. Lopez,Black,Hispanic
Mr. Liu,Ms. Avila,Asian,Hispanic
Ms. Jeanjacques,Ms. Thai,Black,Asian
Mr. Larsen,Mr. Altaha,White,Native
Ms. Tang,Mr. Juarez,Asian,Hispanic
Mr. Ndiaye,Mr. Tapaha,Black,Native
Ms. Marquez,Ms. Nielsen,Hispanic,White
Ms. Gutierrez,Mr. Tam,Hispanic,Asian
Ms. Lara,Mr. Yoo,Hispanic,Asian
Ms. Yepa,Mr. Runningcrane,Native,Native
Mr. Cho,Mr. Lesane,Asian,Black
Ms. Roth,Mr. Balogun,White,Black
Mr. Vo,Ms. Fischer,Asian,White
Ms. Osei,Ms. Chery,Black,Black
Mr. Manygoats,Mr. Wu,Native,Asian
Mr. Zamora,Ms. Hahn,Hispanic,White
Mr. Solis,Mr. Adjei,Hispanic,Black
Ms. Morse,Mr. Chasinghawk,White,Native
Mr. Goldtooth,Ms. Donovan,Native,White
Mr. Gao,Mr. Yoo,Asian,Asian
Mr. Berg,Ms. Yepa,White,Native
Mr. Declay,Ms. Castillo,Native,Hispanic
Mr. Straughter,Mr. Lawal,Black,Black
Mr. Goldtooth,Mr. Ahasteen,Native,Native
Ms. Vo,Ms. Bui,Asian,Asian
Mr. Velez,Ms. Oh,Hispanic,Asian
Ms. Valenzuela,Ms. Jiang,Hispanic,Asian
Ms. Boateng,Ms. Oconnor,Black,White
Ms. Hu,Ms. Espinoza,Asian,Hispanic
Ms. Pan,Ms. Colelay,Asian,Native
Ms. Calabaza,Ms. Hartman,Native,White
Mr. Madplume,Mr. Tsinnijinnie,Native,Native
Ms. Bigcrow,Ms. Chiu,Native,Asian
Mr. Fobbs,Mr. Tabaha,Black,Native
Mr. Kline,Ms. Sharma,White,Asian
Mr. Snyder,Mr. Tapaha,White,Native
Mr. Kang,Ms. Littlewhiteman,Asian,Native
Ms. Vo,Mr. Ganadonegro,Asian,Native
Mr. Owusu,Ms. Boykins,Black,Black
Mr. Sweeney,Ms. Petitfrere,White,Black
Ms. Ly,Mr. Leung,Asian,Asian
Ms. Standingrock,Mr. Klein,Native,White
Mr. Berhane,Ms. Cosay,Black,Native
Mr. Pierrelouis,Mr. Zimmerman,Black,White
Mr. Lor,Ms. Alvarado,Asian,Hispanic
Mr. Carrillo,Mr. Castillo,Hispanic,Hispanic
Mr. Bah,Ms. Le,Black,Asian
Ms. Tam,Ms. Campos,Asian,Hispanic
Ms. Beyale,Mr. Conrad,Native,White
Mr. Frimpong,Ms. Vu,Black,Asian
Mr. Stout,Ms. Bauer,White,White
Mr. Johnston,Mr. Boykins,White,Black
Mr. Bartlett,Ms. Stfleur,White,Black
Mr. Vargas,Mr. Saintil,Hispanic,Black
Mr. Hernandez,Mr. Tam,Hispanic,Asian
Mr. Jama,Ms. Clah,Black,Native
Ms. Becker,Ms. Jain,White,Asian
Ms. Truong,Ms. Shaffer,Asian,White
Ms. Chiu,Mr. Walkingeagle,Asian,Native
Ms. Wagner,Ms. Mahoney,White,White
Mr. Jacobson,Ms. Carlson,White,White
Ms. Kamara,Ms. Jeanbaptiste,Black,Black
Mr. Mendez,Mr. Bigcrow,Hispanic,Native
Mr. Keller,Mr. Pan,White,Asian
Mr. Liu,Mr. Chowdhury,Asian,Asian
Ms. Meyer,Mr. Yang,White,Asian
Mr. Vu,Mr. Keller,Asian,White
Ms. Reilly,Mr. Moreno,White,Hispanic
Mr. Benallie,Ms. Flynn,Native,White
Mr. Adjei,Mr. Donovan,Black,White
Ms. Heavyrunner,Ms. Zamora,Native,Hispanic
Ms. Jiang,Ms. Koroma,Asian,Black
Ms. Yohannes,Ms. Desai,Black,Asian
Ms. Dorvil,Ms. Keller,Black,White
Ms. Eriacho,Ms. Huffman,Native,White
Mr. Ndiaye,Mr. Mayer,Black,White
Ms. Rivera,Mr. Munoz,Hispanic,Hispanic
Mr. Zuniga,Mr. Leung,Hispanic,Asian
Ms. Macdonald,Ms. Benallie,White,Native
Ms. Rojas,Ms. Whiteplume,Hispanic,Native
Mr. Zhang,Ms. Crane,Asian,White
Mr. Wolf,Ms. Appiah,White,Black
Ms. Yellowman,Mr. Keams,Native,Native
Ms. Salas,Ms. Ulysse,Hispanic,Black
Ms. Carrillo,Ms. Le,Hispanic,Asian
Ms. Osei,Mr. Chery,Black,Black
Ms. Bitsuie,Mr. Kwon,Native,Asian
Mr. Schneider,Mr. Schwartz,White,White
Ms. Yoder,Ms. Thai,White,Asian
Mr. Manigault,Mr. Kamara,Black,Black
Mr. Contreras,Mr. Figueroa,Hispanic,Hispanic
Ms. Zamora,Ms. Berhane,Hispanic,Black
Mr. Chung,Mr. Delgado,Asian,Hispanic
Mr. Munoz,Ms. Rios,Hispanic,Hispanic
Mr. Foley,Mr. Gadson,White,Black
Mr. Velazquez,Mr. Fischer,Hispanic,White
Mr. Dong,Mr. Jeanfrancois,Asian,Black
Ms. Ortiz,Mr. Cho,Hispanic,Asian
Ms. Herman,Mr. Alvarez,White,Hispanic
Mr. Pan,Ms. Cabrera,Asian,Hispanic
Ms. Saintlouis,Mr. Christensen,Black,White
Mr. Knapp,Mr. Yoder,White,White
Ms. Estrada,Ms. Hsu,Hispanic,Asian
Mr. Tabaha,Mr. Serrano,Native,Hispanic
Ms. Calabaza,Ms. Sow,Native,Black
Ms. Vue,Ms. Ly,Asian,Asian
Mr. Nunez,Mr. Frimpong,Hispanic,Black
Ms. Villarreal,Ms. Njoroge,Hispanic,Black
Ms. Salinas,Ms. Gonzalez,Hispanic,Hispanic
Ms. Oneill,Ms. Dang,White,Asian
Ms. Spottedhorse,Mr. Knapp,Native,White
Ms. Manuelito,Mr. Decker,Native,White
Mr. Pineda,Ms. Blueeyes,Hispanic,Native
Mr. Hebert,Mr. Sesay,White,Black
Mr. Cheung,Mr. Chu,Asian,Asian
Ms. Suarez,Mr. Marquez,Hispanic,Hispanic
Ms. Ng,Mr. Sesay,Asian,Black
Ms. Pineda,Ms. Donovan,Hispanic,White
Ms. Benally,Mr. Ojo,Native,Black
Mr. Ngo,Ms. Ruiz,Asian,Hispanic
Ms. Rivas,Mr. Brennan,Hispanic,White
Ms. Bah,Mr. Abdullahi,Black,Black
Ms. Schmidt,Ms. Garza,White,Hispanic
Mr. Lim,Ms. Wauneka,Asian,Native
Ms. Pineda,Mr. Velazquez,Hispanic,Hispanic
Mr. Chen,Mr. Lai,Asian,Asian
Ms. Shah,Ms. Chiu,Asian,Asian
Mr. Yepa,Mr. Asare,Native,Black
Mr. Nez,Mr. Hernandez,Native,Hispanic
Ms. Krueger,Mr. Claw,White,Native
Mr. Salas,Mr. Ulysse,Hispanic,Black
Ms. Ortiz,Mr. Rivas,Hispanic,Hispanic
Ms. Mekonnen,Mr. Snyder,Black,White
Mr. Mueller,Mr. Desta,White,Black
Mr. Campos,Ms. Vega,Hispanic,Hispanic
Ms. Castillo,Mr. Morales,Hispanic,Hispanic
Mr. Sweeney,Mr. Valenzuela,White,Hispanic
Ms. Friedman,Ms. Desir,White,Black
Ms. Madplume,Mr. Kramer,Native,White
Ms. Smallcanyon,Mr. Chiu,Native,Asian
Mr. Gallegos,Mr. Coaxum,Hispanic,Black
Mr. Leaks,Ms. Wu,Black,Asian
Mr. Manygoats,Mr. Jensen,Native,White
Mr. Smallcanyon,Mr. Mekonnen,Native,Black
Mr. Begay,Mr. Valenzuela,Native,Hispanic
Ms. Mejia,Mr. Truong,Hispanic,Asian
Ms. Choi,Ms. Sweeney,Asian,White
Mr. Santana,Ms. Hoang,Hispanic,Asian
Mr. Yeboah,Mr. Gallegos,Black,Hispanic
Mr. Alvarez,Mr. Nguyen,Hispanic,Asian
Ms. Jeanbaptiste,Mr. Perez,Black,Hispanic
Mr. Mayer,Ms. Vasquez,White,Hispanic
Mr. Ravenell,Mr. Peck,Black,White
Mr. Dougherty,Ms. Schultz,White,White
Mr. Rangel,Ms. Carrillo,Hispanic,Hispanic
Mr. Huber,Mr. Cao,White,Asian
Mr. Ajayi,Mr. Vazquez,Black,Hispanic
Ms. Secody,Mr. Nez,Native,Native
Ms. Chu,Mr. Beck,Asian,White
Mr. Schroeder,Ms. Jeanpierre,White,Black
Ms. Cisse,Ms. Ajayi,Black,Black
Ms. Salas,Mr. Pham,Hispanic,Asian
Ms. Castillo,Mr. Ngo,Hispanic,Asian
Mr. Lu,Mr. Cabrera,Asian,Hispanic
Ms. Yeboah,Ms. Duong,Black,Asian
Ms. Alvarez,Mr. Cisse,Hispanic,Black
Mr. Yu,Mr. Contreras,Asian,Hispanic
Ms. Mohamud,Mr. Vazquez,Black,Hispanic
Ms. Soto,Ms. He,Hispanic,Asian
Mr. Ortiz,Ms. Tsinnie,Hispanic,Native
Ms. Hailu,Ms. Ngo,Black,Asian
Mr. Shaffer,Ms. Owusu,White,Black
Ms. Cline,Mr. Roanhorse,White,Native
Ms. Fobbs,Ms. Mondesir,Black,Black
Mr. Atcitty,Mr. Howe,Native,White
Ms. Yohannes,Mr. Petitfrere,Black,Black
Mr. Pineda,Mr. Velazquez,Hispanic,Hispanic
Ms. Bitsuie,Ms. Boyle,Native,White
Mr. Owusu,Ms. Fischer,Black,White
Mr. Cline,Ms. Yang,White,Asian
Mr. Jama,Ms. Olson,Black,White
Mr. Kang,Mr. Case,Asian,White
Ms. Klein,Ms. Macdonald,White,White
Mr. Ochoa,Ms. Thai,Hispanic,Asian
Ms. Gallegos,Mr. Ganadonegro,Hispanic,Native
Mr. Schmidt,Ms. Duong,White,Asian
Ms. Ho,Mr. Mccarthy,Asian,White
Ms. Hosteen,Ms. Dorvil,Native,Black
Mr. Krueger,Mr. Sanchez,White,Hispanic
Mr. Trinh,Mr. Yellowhair,Asian,Native
Mr. Stout,Mr. Desta,White,Black
Mr. Shin,Mr. Huynh,Asian,Asian
Ms. Liang,Ms. Yoder,Asian,White
Mr. Ngo,Mr. Sun,Asian,Asian
Mr. Weber,Ms. Pena,White,Hispanic
Mr. Blankenship,Ms. Rios,White,Hispanic
Mr. Salas,Ms. Weber,Hispanic,White
Ms. Sandoval,Ms. Ngo,Hispanic,Asian
Mr. Rojas,Mr. Whiteplume,Hispanic,Native
Mr. Perez,Mr. Rojas,Hispanic,Hispanic
Ms. Contreras,Mr. Huang,Hispanic,Asian
Ms. Aguilar,Ms. Blueeyes,Hispanic,Native
Mr. Maldonado,Ms. Etsitty,Hispanic,Native
Mr. Howe,Ms. Tsinnijinnie,White,Native
Ms. Appiah,Mr. Yu,Black,Asian
Mr. Hoover,Mr. Stout,White,White
Mr. Whitehat,Ms. Clitso,Native,Native
Mr. Whiteplume,Mr. Laughing,Native,Native
Ms. Dinh,Ms. Marquez,Asian,Hispanic
Mr. Altaha,Mr. Ortiz,Native,Hispanic
Mr. Tsinnijinnie,Ms. Blackgoat,Native,Native
Ms. Declay,Mr. Brennan,Native,White
Mr. Larsen,Ms. Tang,White,Asian
Ms. Snyder,Mr. Meza,White,Hispanic
Ms. Velasquez,Mr. Haskie,Hispanic,Native
Mr. Mcmahon,Mr. Schneider,White,White
Mr. Sexton,Ms. Donovan,White,White
Ms. Salazar,Mr. Jalloh,Hispanic,Black
Mr. Figueroa,Ms. Stfleur,Hispanic,Black
Ms. Bui,Ms. Larson,Asian,White
Ms. Clah,Ms. Sow,Native,Black
Ms. Cowboy,Mr. Salazar,Native,Hispanic
Mr. Morse,Ms. Chen,White,Asian
Mr. Tsinnijinnie,Mr. Blackgoat,Native,Native
Mr. Bitsuie,Mr. Poorbear,Native,Native
Mr. Soto,Ms. Pena,Hispanic,Hispanic
Mr. Jeanfrancois,Ms. Gadson,Black,Black
Mr. Orozco,Mr. Abebe,Hispanic,Black
Ms. Velazquez,Mr. Chowdhury,Hispanic,Asian
Ms. Valenzuela,Mr. Littledog,Hispanic,Native
Mr. Nguyen,Mr. Thai,Asian,Asian
Ms. Prophete,Mr. Rosales,Black,Hispanic
Mr. Mwangi,Mr. Berg,Black,White
Mr. Kebede,Ms. Ko,Black,Asian
Ms. Goseyun,Mr. Okafor,Native,Black
Mr. Torres,Mr. Schaefer,Hispanic,White
Ms. Yi,Ms. Hebert,Asian,White
Mr. Chiu,Ms. Bauer,Asian,White
Mr. Ryan,Ms. Madplume,White,Native
Ms. Case,Mr. Kamara,White,Black
Mr. Dosela,Mr. Klein,Native,White
Mr. Colelay,Mr. Belizaire,Native,Black
Ms. Diallo,Mr. Beyale,Black,Native
Ms. Kidane,Ms. Arcoren,Black,Native
Ms. Benally,Ms. Vue,Native,Asian
Mr. Espinoza,Mr. Galvan,Hispanic,Hispanic
Mr. Pierrelouis,Mr. Gupta,Black,Asian
Mr. Kamara,Mr. Mueller,Black,White
Ms. Metellus,Ms. Schultz,Black,White
Mr. Begaye,Mr. Werito,Native,Native
Mr. Tran,Ms. Diaz,Asian,Hispanic
Mr. Hyppolite,Mr. Chinana,Black,Native
Mr. Yazzie,Mr. Sesay,Native,Black
Mr. Kidane,Mr. Wolfe,Black,White
Mr. Yohannes,Ms. Ruiz,Black,Hispanic
Ms. Smallcanyon,Ms. Clitso,Native,Native
Mr. Carlson,Ms. Velasquez,White,Hispanic
Mr. Huffman,Ms. Dong,White,Asian
Ms. Knapp,Mr. Littlewhiteman,White,Native
Mr. Vega,Mr. Madplume,Hispanic,Native
Ms. Lim,Ms. Zamora,Asian,Hispanic
Ms. Lim,Ms. Wauneka,Asian,Native
Mr. Hsu,Ms. Conrad,Asian,White
Mr. Notah,Mr. Spottedhorse,Native,Native
Mr. Nwosu,Mr. Cephas,Black,Black
Mr. Blackgoat,Mr. Ko,Native,Asian
Mr. Whitehat,Mr. Bienaime,Native,Black
Mr. Kanuho,Ms. Jeanfrancois,Native,Black
Mr. Mondesir,Mr. Rosales,Black,Hispanic
Mr. Dang,Ms. Hsu,Asian,Asian
Ms. Chinana,Ms. Oconnor,Native,White
Mr. Lara,Ms. Hardnett,Hispanic,Black
Mr. Shin,Ms. Meyer,Asian,White
Mr. Herman,Ms. Chen,White,Asian
Ms. Shin,Mr. Blackgoat,Asian,Native
Mr. Laughing,Ms. Mayweather,Native,Black
Ms. Appiah,Mr. Alvarado,Black,Hispanic
Ms. Lozano,Ms. Yohannes,Hispanic,Black
Ms. Leung,Mr. Ko,Asian,Asian
Ms. Warsame,Ms. Gallagher,Black,White
Ms. Secatero,Mr. Olsen,Native,White
Mr. Song,Ms. Rosales,Asian,Hispanic
Mr. Molina,Mr. Keyonnie,Hispanic,Native
Mr. Njoroge,Mr. Jeanjacques,Black,Black
Ms. Wassillie,Ms. Ochoa,Native,Hispanic
Ms. Beyale,Ms. Chung,Native,Asian
Ms. Valenzuela,Ms. Littledog,Hispanic,Native
Ms. Eriacho,Ms. Littledog,Native,Native
Mr. Ulysse,Ms. Salas,Black,Hispanic
Ms. Johnston,Mr. Boykins,White,Black
Mr. Lopez,Mr. Zhou,Hispanic,Asian
Mr. Bauer,Ms. Cowboy,White,Native
Mr. Maldonado,Mr. Sandoval,Hispanic,Hispanic
Mr. Weber,Ms. Mensah,White,Black
Ms. Ibarra,Ms. Avila,Hispanic,Hispanic
Mr. Chiu,Mr. Bauer,Asian,White
Mr. Exantus,Mr. Tesfaye,Black,Black
Mr. Wauneka,Mr. Chu,Native,Asian
Mr. Yoo,Ms. Maldonado,Asian,Hispanic
Mr. Stfleur,Mr. Hansen,Black,White
Mr. Berger,Ms. Boykins,White,Black
Mr. Gupta,Mr. Wauneka,Asian,Native
Mr. Tabaha,Mr. Kidane,Native,Black
Ms. Gueye,Ms. Yoon,Black,Asian
Ms. Orozco,Ms. Estrada,Hispanic,Hispanic
Mr. Whiteplume,Mr. Ramirez,Native,Hispanic
Ms. Wassillie,Ms. Zhao,Native,Asian
Ms. Veasley,Ms. Mcmahon,Black,White
Mr. Beyale,Mr. Colelay,Native,Native
Ms. Bartlett,Ms. Flynn,White,White
Mr. Asare,Mr. Estrada,Black,Hispanic
Mr. Dong,Ms. Obrien,Asian,White
Mr. Olanna,Ms. Jiang,Native,Asian
Mr. Ruiz,Mr. Yellowman,Hispanic,Native
Mr. Mekonnen,Mr. Yoo,Black,Asian
Mr. Schmidt,Ms. Tsethlikai,White,Native
Ms. Kaur,Ms. Prioleau,Asian,Black
Mr. Calderon,Ms. Chiu,Hispanic,Asian
Ms. Runningcrane,Ms. Birdinground,Native,Native
Ms. Pan,Ms. Mahoney,Asian,White
Mr. Hansen,Mr. Flynn,White,White
Ms. Phan,Mr. Barrera,Asian,Hispanic
Mr. Desai,Mr. Littlewhiteman,Asian,Native
Mr. Moua,Mr. Tabaha,Asian,Native
Mr. Ho,Ms. Dang,Asian,Asian
Ms. Figueroa,Mr. Padilla,Hispanic,Hispanic
Ms. Adjei,Mr. Bitsui,Black,Native
Mr. Ruiz,Ms. Yellowman,Hispanic,Native
Mr. Chery,Mr. Yohannes,Black,Black
Mr. Castaneda,Mr. Calabaza,Hispanic,Native
Mr. Abebe,Mr. Yohannes,Black,Black
Ms. Rios,Ms. Huang,Hispanic,Asian
Mr. Cheung,Mr. Etsitty,Asian,Native
Mr. Aguilar,Mr. Ryan,Hispanic,White
Mr. Jeanpierre,Ms. Bah,Black,Black
Mr. Nguyen,Mr. Munoz,Asian,Hispanic
Ms. Roanhorse,Ms. Lim,Native,Asian
Ms. Mueller,Mr. Cowboy,White,Native
Ms. Yoo,Ms. Schroeder,Asian,White
Ms. Altaha,Ms. Ortiz,Native,Hispanic
Ms. Desta,Ms. Chinana,Black,Native
Ms. Peshlakai,Ms. Espinoza,Native,Hispanic
Ms. Trevino,Mr. Molina,Hispanic,Hispanic
Ms. Jama,Mr. Clah,Black,Native
Mr. Abdullahi,Mr. Castaneda,Black,Hispanic
Mr. Johnston,Ms. Begum,White,Asian
Mr. Louissaint,Ms. Bui,Black,Asian
Mr. Appiah,Ms. Desir,Black,Black
Ms. Avila,Mr. Goldtooth,Hispanic,Native
Ms. Vu,Ms. Tsethlikai,Asian,Native
Mr. Shin,Mr. Meyer,Asian,White
Mr. Yeboah,Mr. Goldtooth,Black,Native
Mr. Jacobson,Mr. Carlson,White,White
Mr. Ha,Mr. Weber,Asian,White
Ms. Trinh,Mr. Yellowhair,Asian,Native
Mr. Kim,Ms. Clah,Asian,Native
Mr. Snyder,Ms. Tapaha,White,Native
Ms. Berger,Ms. Hebert,White,White
Ms. Veasley,Mr. Leaks,Black,Black
Mr. Yohannes,Ms. Petitfrere,Black,Black
Ms. Mehta,Mr. Berg,Asian,White
Ms. Flores,Ms. Santana,Hispanic,Hispanic
Mr. Brandt,Ms. Abebe,White,Black
Ms. Talayumptewa,Ms. Vega,Native,Hispanic
Mr. Moreno,Ms. Hailu,Hispanic,Black
Ms. Bitsie,Ms. Manuelito,Native,Native
Ms. Lo,Ms. Cayaditto,Asian,Native
Ms. Lin,Mr. Boateng,Asian,Black
Ms. Etsitty,Mr. Secody,Native,Native
Ms. Alvarado,Mr. Velez,Hispanic,Hispanic
Mr. Ochoa,Ms. Schultz,Hispanic,White
Mr. Vargas,Mr. Brennan,Hispanic,White
Ms. Ganadonegro,Ms. Cosay,Native,Native
Mr. Donovan,Mr. Prophete,White,Black
Ms. Chasinghawk,Mr. Lai,Native,Asian
Mr. Herman,Mr. Alvarez,White,Hispanic
Ms. Valenzuela,Ms. Petitfrere,Hispanic,Black
Ms. Berhane,Ms. Hsu,Black,Asian
Mr. Cabrera,Ms. Adjei,Hispanic,Black
Ms. Hensley,Mr. Walkingeagle,White,Native
Mr. Saintil,Ms. Colelay,Black,Native
Mr. Guo,Mr. Kameroff,Asian,Native
Mr. Mohamud,Ms. Vazquez,Black,Hispanic
Mr. Medina,Mr. Ulysse,Hispanic,Black
Ms. Bigcrow,Mr. Stout,Native,White
Mr. Thai,Mr. Phan,Asian,Asian
Ms. Goseyun,Ms. Okafor,Native,Black
Ms. Zheng,Ms. Chinana,Asian,Native
Mr. Wauneka,Ms. Soto,Native,Hispanic
Mr. Yohannes,Mr. Desai,Black,Asian
Ms. Keyonnie,Mr. Manygoats,Native,Native
Ms. Klein,Ms. Jeanlouis,White,Black
Ms. Lasiloo,Ms. Okoro,Native,Black
Mr. Morales,Ms. Oconnor,Hispanic,White
Mr. Okafor,Ms. Cheung,Black,Asian
Mr. Mora,Mr. Liu,Hispanic,Asian
Ms. Pham,Mr. Zhang,Asian,Asian
Ms. Asante,Mr. Castaneda,Black,Hispanic
Mr. Appiah,Ms. Alvarado,Black,Hispanic
Ms. Wauneka,Mr. Soto,Native,Hispanic
Mr. Spottedeagle,Ms. Gallegos,Native,Hispanic
